"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"01110","Pěstování obilovin jiných než rýže, luštěnin a olejnatých se","Pěstování obilovin jiných než rýže, luštěnin a olejnatých semen","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01120","Pěstování rýže","Pěstování rýže","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01130","Pěstování zeleniny a melounů, kořenů a hlíz","Pěstování zeleniny a melounů, kořenů a hlíz","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01140","Pěstování cukrové třtiny","Pěstování cukrové třtiny","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01150","Pěstování tabáku","Pěstování tabáku","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01160","Pěstování přadných rostlin","Pěstování přadných rostlin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01190","Pěstování ostatních plodin jiných než trvalých","Pěstování ostatních plodin jiných než trvalých","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01210","Pěstování vinných hroznů","Pěstování vinných hroznů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01220","Pěstování tropického a subtropického ovoce","Pěstování tropického a subtropického ovoce","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01230","Pěstování citrusových plodů","Pěstování citrusových plodů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01240","Pěstování jádrového a peckového ovoce","Pěstování jádrového a peckového ovoce","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01250","Pěstování ostatního stromového a keřového ovoce a ořechů","Pěstování ostatního stromového a keřového ovoce a ořechů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01260","Pěstování olejnatých plodů","Pěstování olejnatých plodů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01270","Pěstování rostlin pro výrobu nápojů","Pěstování rostlin pro výrobu nápojů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01280","Pěstování koření a aromatických, léčivých a farmaceutických","Pěstování koření a aromatických, léčivých a farmaceutických rostlin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01290","Pěstování ostatních trvalých plodin","Pěstování ostatních trvalých plodin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01300","Množení rostlin","Množení rostlin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01410","Chov mléčného skotu","Chov mléčného skotu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01420","Chov ostatního skotu a buvolů","Chov ostatního skotu a buvolů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01430","Chov koní a ostatních koňovitých","Chov koní a ostatních koňovitých","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01440","Chov velbloudů a velbloudovitých","Chov velbloudů a velbloudovitých","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01450","Chov ovcí a koz","Chov ovcí a koz","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01460","Chov prasat","Chov prasat","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01470","Chov drůbeže","Chov drůbeže","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01480","Chov ostatních zvířat","Chov ostatních zvířat","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01500","Smíšené hospodaření","Smíšené hospodaření","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01610","Podpůrné činnosti pro rostlinnou výrobu","Podpůrné činnosti pro rostlinnou výrobu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"01620","Podpůrné činnosti pro živočišnou výrobu","Podpůrné činnosti pro živočišnou výrobu","2025-01-01","9999-09-09"
